Publication number,Title,Publication date,Inventors,country_name,Title_language,country_code,Applicants,Family number,ABSTRACT
CN1242428A,Gene engineering carrier for recombination salvation linearization silk worm nuclear polyhedral virus,26/01/2000,WU XIANGPU [CN]  YANG GUANZHEN [CN]  HU JIANXIN [CN],China,en,CN,SHANGHAI INST OF BIOLOG CHEMIS [CN],5220976,gene engineering carrier recombination salvation linearization silk worm nuclear polyhedral virus
CN104498416A,Recombinant engineering bacteria for PTD-CD46 fusion protein expression and use thereof,08/04/2015,GAO QISHUANG  CHENG BAILIAN  ZHOU LI  CHEN ZHIHUA  CAO TINGQIU  ZHOU GANG  LU SHUN,China,en,CN,WUHAN ENGINEERING SCIENCE & TECHNOLOGY INST,52939870,recombinant engineering bacteria ptdcd fusion protein expression use thereof
CN115957315A,Preparation method of fish rhabdovirus genetic engineering vaccine,14/04/2023,LIU XIAODAN  SUN WEI  AN ZHENHUA,China,en,CN,UNIV YANGZHOU,87363205,preparation method fish rhabdovirus genetic engineering vaccine
CN104610455A  CN104610455B,Duck tembusu virus genetic engineering subunit vaccine,2015-05-13  2017-08-25,HOU ZHUMEI,China,nl,CN,UNIV QINGDAO AGRICULTURAL,53145128,duck tembusu virus genetic engineering subunit vaccine
CN102618507A  CN102618507B,"Recombinant adeno-associated virus increasing targeted transduction efficiency of adeno-associated virus, and application of recombinant adeno-associated virus",2012-08-01  2015-04-22,WEI DING  WENJIE SHI  SHAOPENG ZHENG  JING NIU  WEI WU  DING WEI  SHI WENJIE  ZHENG SHAOPENG  NIU JING  WU WEI,China,en,CN,UNIV CAPITAL MEDICAL,46558719,recombinant adenoassociated virus increasing targeted transduction efficiency adenoassociated virus application recombinant adenoassociated virus
CN101457215A  CN101457215B,Recombinant porcine pseudorabies virus-porcine propagate and breath complex virus-porcine circovirus genetic engineering strain and application,2009-06-17  2010-11-17,SHAOBO XIAO [CN]  FENGQIN XU [CN]  LIURONG FANG [CN]  YUNBO JIANG [CN]  HUANCHUN CHEN [CN]  FENGQIN XU  LIURONG FANG  HUANCHUN CHEN  YUNBO JIANG  SHAOBO XIAO,China,en,CN,UNIV HUAZHONG AGRICULTURAL [CN]  UNIV HUAZHONG AGRICULTURAL,40768335,recombinant porcine pseudorabies virusporcine propagate breath complex virusporcine circovirus genetic engineering strain application
CN115637260A,Genetically engineered vaccine for expressing African swine fever virus P54 gene recombinant pseudorabies virus and application of genetically engineered vaccine,24/01/2023,TONG WU  ZHOU YANJUN  TONG GUANGZHI  BAO WEILING  GAO FEI  ZHENG HAO  LI GUOXIN  YU HAI  SHAN TONGLING  JIANG YIFENG  YU LINGXUE  LIU CHANGLONG  LI LIWEI  KONG NING,China,en,CN,SHANGHAI VETERINARY RES INSTITUTE CHINESE ACADEMY OF AGRICULTURAL SCIENCES,84940935,genetically engineered vaccine expressing african swine fever virus p gene recombinant pseudorabies virus application genetically engineered vaccine
EP0180012A1,Immunogenic polypeptide sequence of hepatits B virus.,07/05/1986,GERLICH WOLFRAM H PROF DR  HEERMANN KLAUS-HINRICH DR  KOCHEL HEINRICH G DR RER NAT  UY ANGELA DIPL-BIOL  THOMSSEN REINER PROF DR,European Patent Office (EPO),en,EP,ASTA WERKE AG CHEM FAB [DE],6248911,immunogenic polypeptide sequence hepatits b virus
CN107099510A  CN107099510B,Goat pox virus vector containing novel insertion site and application,2017-08-29  2020-08-25,BU ZHIGAO  ZHANG MINMIN  CHEN WEIYE,China,en,CN,HARBIN VETERINARY RES INSTITUTE CAAS,59657181,goat pox virus vector containing novel insertion site application
EP1487274A2  EP1487274A4  EP1487274B1,TISSUE ENGINEERING,2004-12-22  2006-06-21  2010-10-13,NIKLASON LAURA E [US]  MCKEE J ANDREW [US]  COUNTER CHRISTOPHER M [US],European Patent Office (EPO),en,EP,UNIV DUKE [US],28041870,tissue engineering
WO2018157455A1,INFLUENZA VIRUS STRAIN AND APPLICATION THEREOF,07/09/2018,CHENG GENHONG [CN]  QIN XIAOFENG [CN]  WANG LULAN [US]  XU JUAN [CN]  LIU SUYANG [US],World Intellectual Property Organization (WIPO),de,WO,SUZHOU INST OF SYSTEMS MEDICINE [CN]  UNIV CALIFORNIA [US],59792114,influenza virus strain application thereof
CN1186856A,Rhabdovirus transfer carrier containing three promoters,08/07/1998,LIAN BUFENG [CN],China,en,CN,WUHAN VIRUS INST CHINESE ACADE [CN],5125954,rhabdovirus transfer carrier containing three promoters
EP3012322A1  EP3012322A4  EP3012322B1,"PORCINE PSEUDORABIES VIRUS GENE DELETION STRAIN, VACCINE COMPOSITION, AND PREPARATION METHOD THEREFOR AND APPLICATION THEREOF",2016-04-27  2016-07-20  2019-08-28,TIAN KEGONG [CN]  ZHANG XUKE [CN]  SUN JINZHONG [CN]  TAN FEIFEI [CN],European Patent Office (EPO),vi,EP,PULIKE BIOLOG ENGINEERING INC [CN]  PULIKE BIOLOGICAL ENG INC [CN],52185894,porcine pseudorabies virus gene deletion strain vaccine composition preparation method therefor application thereof
US2022118075A1,HANSENULA ENGINEERING FUNGI EFFICIENTLY EXPRESSING CA10 VIRUS-LIKE PARTICLES AND USE THEREOF,21/04/2022,LI GUOSHUN [CN]  GU MEIRONG [CN]  GUO LIN [CN]  JIAN WEI [CN]  LIU JUNJIE [CN]  XIAO HAIFENG [CN]  ZHANG GAIMEI [CN]  ZHAO LILI [CN]  XIE XUECHAO [CN]  CHEN LEI [CN]  XU YINGZHI [CN]  LIU JIANKAI [CN],United States of America,de,US,BEIJING MINHAI BIOTECHNOLOGY CO LTD [CN],72757698,hansenula engineering fungi efficiently expressing ca viruslike particles use thereof
CN113527516A  CN113527516B,"Seneca virus type A genetic engineering composite epitope protein, vaccine and application of Senecavirus type A genetic engineering composite epitope protein and vaccine",2021-10-22  2023-03-31,ZHANG ZHONGWANG  PAN LI,China,en,CN,LANZHOU VETERINARY RES INST CAAS,78099492,seneca virus type genetic engineering composite epitope protein vaccine application senecavirus type genetic engineering composite epitope protein vaccine
CN106526108A  CN106526108B,Test method for rabbit body effect of hog cholera virus genetic engineering subunit vaccine,2017-03-22  2019-06-28,ZHANG HENG  FAN GENCHENG  LIU LEI  DU YUANZHAO  LI HONGWEI  SHEN HONGYIN  GUO YUGUANG  TAO XIAOSHAN  HU XIAO  CAO ZHI  HAN NAIJUN  ZOU GUIRONG,China,en,CN,YEBIO BIOENG CO LTD QINGDAO,58326956,test method rabbit body effect hog cholera virus genetic engineering subunit vaccine
WO03008599A2  WO03008599A3,"SYSTEM FOR PRODUCING CLONAL OR COMPLEX POPULATIONS OF RECOMBINANT ADENOVIRUSES, AND THE APPLICATION OF THE SAME",2003-01-30  2003-09-18,HILLGENBERG MORITZ [DE],World Intellectual Property Organization (WIPO),en,WO,DEVELOGEN AG [DE]  HILLGENBERG MORITZ [DE],8178066,system producing clonal complex populations recombinant adenoviruses application
CN1445243A,Fab antibody of human resourced neutrality genetic engineering for anti human cytomegalo virus,01/10/2003,LIANG MIFANG [CN]  GU SHUYAN [CN]  DUAN TAO [CN],China,en,CN,INST OF VIRUS PREVENTION AND C [CN],27811369,fab antibody human resourced neutrality genetic engineering anti human cytomegalo virus
CN1431020A,Epiposition vaccine of gene engineering for influenza virus and its preparing method,23/07/2003,CHEN YINGHUA [CN]  LI HUA [CN]  LIU ZUQIANG [CN],China,en,CN,UNIV TSINGHUA [CN],4739149,epiposition vaccine gene engineering influenza virus preparing method
EP1329522A1  EP1329522A4  EP1329522B1  EP1329522B2,METHOD OF DETECTING NORWALK-LIKE VIRUS (GI),2003-07-23  2005-07-13  2010-05-05  2016-09-28,KAGEYAMA TSUTOMU [JP]  KOJIMA SHIGEYUKI [JP]  FUKUSHI SHUETSU [JP]  HOSHINO FUMINORI [JP]  KATAYAMA KAZUHIKO [JP],European Patent Office (EPO),de,EP,BML INC [JP],18782361,method detecting norwalklike virus gi
CN1844367A,Process for producing genetic engineering of tobacco etch virus protease and use thereof,11/10/2006,HUA ZICHUN FANG [CN],China,en,CN,UNIV NANJING [CN],37063337,process producing genetic engineering tobacco etch virus protease use thereof
EP0278667A2  EP0278667A3  EP0278667B1,Hybrid RNA virus.,1988-08-17  1990-09-05  1994-07-20,AHLQUIST PAUL G [US]  FRENCH ROY D [US]  SACHER ROBERT F [US]  AHLQUIST PAUL G  FRENCH ROY D  SACHER ROBERT F,European Patent Office (EPO),af,EP,LUBRIZOL GENETICS INC [US],21754067,hybrid rna virus
CN114369587A  CN114369587B,"Vacpox virus capping enzyme mutant, recombinant vector, recombinant engineering bacterium and application of vaccpox virus capping enzyme mutant, recombinant vector and recombinant engineering bacterium",2022-04-19  2024-03-15,MA FUQIANG  LUO CHENGKUN  LU ZELIN  WANG ZHIYUN  YANG GUANGYU,China,en,CN,SUZHOU VAST SOURCE NEW ENZYME BIOTECHNOLOGY LTD COMPANY,81142543,vacpox virus capping enzyme mutant recombinant vector recombinant engineering bacterium application vaccpox virus capping enzyme mutant recombinant vector recombinant engineering bacterium
CN115043948A,Specific fusion protein antigen of monkey pox virus as well as preparation method and application of specific fusion protein antigen,13/09/2022,YANG FAN  DU JINFANG  SHAN JINHONG  LI WEN  WANG TING  LIU WANJIAN  LIU AIHUA,China,en,CN,QINGDAO SHUOJING BIOLOGICAL TECH CO LTD,83164215,specific fusion protein antigen monkey pox virus well preparation method application specific fusion protein antigen
CN1884499A,Recombinant pig japanese b encephalitis-aujeszkys disease geneticly engineered strain vaccine and its uses,27/12/2006,FANG LIURONG XU [CN],China,en,CN,UNIV HUAZHONG AGRICULTURAL [CN],37582805,recombinant pig japanese b encephalitisaujeszkys disease geneticly engineered strain vaccine uses
CN104372013A  CN104372013B,Duck hepatitis A virus genetic engineering subunit vaccine,2015-02-25  2015-08-05,WANG HONGHUA,China,en,CN,QINGDAO HONGHAO BIOTECHNOLOGY CO LTD,52551209,duck hepatitis virus genetic engineering subunit vaccine
CN1243161A,Nuclear polygon virogene engineering carrier for cysteine protease deficiency type domestic silkworms,02/02/2000,WU XIANGFU [CN]  YANG GUANZHEN [CN]  JIANG YULEI [CN],China,en,CN,SHANGHAI BIOCHEMISTRY INST CHI [CN],5220986,nuclear polygon virogene engineering carrier cysteine protease deficiency type domestic silkworms
CN115033881A  CN115033881B,"PLC (Programmable Logic Controller) virus detection method, device and equipment and storage medium",2022-09-09  2022-12-09,RAO ZHIHONG  KANG RONGBAO  ZHANG XIAO  XU RUI  DU YANXIA  XUE CHANGQING,China,en,CN,NO 30 INST CHINA ELECTRONIC TECH GROUP CORP,83131352,plc programmable logic controller virus detection method device equipment storage medium
CN105906721A  CN105906721B,"Varicella-zoster virus gB-gE-gH-gL fusion protein, genetic engineering subunit vaccine and preparation methods",2016-08-31  2020-02-28,WANG MINGLI  GAN LIN  CHEN JINGXIAN,China,en,CN,WUHU TIANMING BIOTECHNOLOGY CO LTD,56759112,varicellazoster virus gbgeghgl fusion protein genetic engineering subunit vaccine preparation methods
WO2022211482A1,VIRUS VACCINE BASED ON VIRUS SURFACE ENGINEERING PROVIDING INCREASED IMMUNITY,06/10/2022,SHIN HYUN-JIN [KR]  RYU JIHOON [KR]  PARK JUNGEUN [KR],World Intellectual Property Organization (WIPO),de,WO,IAC IN NAT UNIV CHUNGNAM [KR],83459406,virus vaccine based virus surface engineering providing increased immunity
CN1288241C  CN1401767A,Method for increasing insect virus propagation efficiency,2003-03-12  2006-12-06,MENG XIAOLIN [CN]  XU JINPING [CN]  WANG JIAN [CN]  JIAN MENG XIAOLIN XU JINPING W [HK],China,en,CN,UNIV WUHAN [CN]  UNIV WUHAN [HK],4749895,method increasing insect virus propagation efficiency
CN105349500A  CN105349500B,Novel hepatitis A virus strain and application thereof,2016-02-24  2019-02-22,DUAN ZHAOJUN  YU JIEMEI  LI LILI  AO YUANYUN,China,en,CN,INST VIRAL DISEASE CONTROL & PREVENTION CHINESE CT,55325564,novel hepatitis virus strain application thereof
CN102321547A  CN102321547B,"Recombination yeast engineering bacteria expressing reticuloendotheliosis virus (REV) Gp90 protein, its construction method and application",2012-01-18  2013-04-17,XIAOMEI WANG  HONGLEI GAO  YULONG GAO  XIAOLE QI  LITING QIN  YONGQIANG WANG  WANG XIAOMEI  GAO HONGLEI  GAO YULONG  QI XIAOLE  QIN LITING  WANG YONGQIANG,China,en,CN,HARBIN VET RES INST CAAS,45449386,recombination yeast engineering bacteria expressing reticuloendotheliosis virus rev gp protein construction method application
WO2005087263A1,VACCINE FOR PREVENTING AND/OR TREATING A HERPES VIRUS INFECTION,22/09/2005,RITTER KLAUS [DE]  KLEINES MICHAEL [DE]  SCHELLENBERG KIRSTEN [DE],World Intellectual Property Organization (WIPO),de,WO,RWTH AACHEN [DE]  RITTER KLAUS [DE]  KLEINES MICHAEL [DE]  SCHELLENBERG KIRSTEN [DE],34895103,vaccine preventing andor treating herpes virus infection
CN101659966A,Method for constructing universal carrier of I type poultry Marek's virus vaccine strain gene engineering and application thereof,03/03/2010,XINWEN LIU  MINGYI LI  GENCHENG FAN,China,en,CN,YEBIO BIOENGINEERING CO LTD OF,41788220,method constructing universal carrier type poultry mareks virus vaccine strain gene engineering application thereof
CN106771186A  CN106771186B,Antibody testing method for potency of CFS (classical swine fever) genetic engineering subunit vaccine,2017-05-31  2018-11-20,LIU LEI  ZHANG HENG  TAO XIAOSHAN  ZOU MIN  SUN JIAN  WANG LIPING  ZHAO TONGYUAN,China,en,CN,YEBIO BIOENG CO LTD QINGDAO,58878655,antibody testing method potency cfs classical swine fever genetic engineering subunit vaccine
CN1322119C  CN1500864A,"Mandarin fish rhabdo virus toxic strain, its preparation method and application",2004-06-02  2007-06-20,ZHANG QIYA [CN]  TAO JIANJUN [CN]  LI ZHENGQIU [CN]  ZHANG QIYA TAO [CN],China,en,CN,INST OF HYDROBIOLOGY CAS [CN]  INST OF HYDROBIOLOGY CHINESE [CN],34276025,mandarin fish rhabdo virus toxic strain preparation method application
EP4234703A2  EP4234703A3,GENOME ENGINEERING,2023-08-30  2023-09-06,CHURCH GEORGE [US]  YANG LUHAN [US]  CARGOL MARC GUELL [US]  YANG JOYCE LICHI [US],European Patent Office (EPO),de,EP,HARVARD COLLEGE [US],52390824,genome engineering
CN104894069A  CN104894069B,Tissue engineering device used for light-operated insulin rhythmic secretion,2015-09-09  2019-07-12,YANG GUODONG,China,en,CN,YANG GUODONG,54027029,tissue engineering device used lightoperated insulin rhythmic secretion
CN1888050A,Yeast engineering bacterium strain expressing hepatitis B virus Pres antigen vaccine and its prepn process,03/01/2007,YE LINBAI WU [CN],China,en,CN,UNIV WUHAN [CN],37577335,yeast engineering bacterium strain expressing hepatitis b virus pres antigen vaccine prepn process
DE19549523C2,New proteins from porcine reproductive and respiratory syndrome virus,02/11/2000,DURAN JUAN PLANA [ES]  ALVAREZ JOSE INGACIO [ES]  SANCHEZ ISABEL CLIMENT [ES],Germany,en,DE,IBERICA CYANAMID [ES],8286221,new proteins porcine reproductive respiratory syndrome virus
WO2012122649A1,RECOMBINANT ORF VIRUS,20/09/2012,RINTOUL JULIA [CA]  LAPORTE AIMEE NICOLE [CA]  KOMAR MONICA [CA]  BELL JOHN [CA],World Intellectual Property Organization (WIPO),de,WO,OTTAWA HOSPITAL RES INST [CA]  RINTOUL JULIA [CA]  LAPORTE AIMEE NICOLE [CA]  KOMAR MONICA [CA]  BELL JOHN [CA],46829995,recombinant orf virus
CN117285622A,Senecavirus-resistant swine Fab gene engineering antibody as well as preparation method and application of Senecavirus-resistant swine Fab gene engineering antibody,26/12/2023,MA XUEQING  SUN PU  LU ZENGJUN  LI KUN  LEE PYUNG-HWA  CAO YIMEI  FU YUANFANG  LI DONG  ZHANG JING  ZHAO ZHIXUN  YUAN HONG  LIU ZAIXIN,China,en,CN,LANZHOU VETERINARY RES INST CAAS,89251764,senecavirusresistant swine fab gene engineering antibody well preparation method application senecavirusresistant swine fab gene engineering antibody
CN103013895A  CN103013895B,"Genetic engineering live vaccine of recombinant Salmonella choleraesuis and Porcine epidemic diarrhea virus, preparation and application",2013-04-03  2014-07-16,HE QIGAI  XU LILI  KU XUGANG  LI YAN  LI NANA  ZHANG KUN  CHEN HUANCHUN  GUO AIZHEN  XU GAOYUAN,China,en,CN,UNIV HUAZHONG AGRICULTURAL  WUHAN KEQIAN ANIMAL BIOLOG PRODUCTS CO LTD,47963012,genetic engineering live vaccine recombinant salmonella choleraesuis porcine epidemic diarrhea virus preparation application
CN105462937A  CN105462937B,Enteroviral chimeric virus-like particle vaccine and preparation method and application thereof,2016-04-06  2019-06-25,PAN ZISHU  HUO CHUNLING  YANG JIE,China,en,CN,UNIV WUHAN,55601098,enteroviral chimeric viruslike particle vaccine preparation method application thereof
CN100503816C  CN1800374A,Recombinant gene engineered strain of aujeszkys disease-porcine reproductive and respirator syndrome virus and its uses,2006-07-12  2009-06-24,FANG LIURONG JIANG [CN]  LIURONG FANG [CN]  YUNBO JIANG [CN]  HUANCHUN CHEN [CN]  SHAOBO XIAO [CN]  MEILIN JIN [CN]  BIN WU [CN]  ZHENGFEI LIU [CN],China,en,CN,UNIV HUAZHONG AGRICULTURAL [CN],36810587,recombinant gene engineered strain aujeszkys diseaseporcine reproductive respirator syndrome virus uses
CN1406631A,Establishment of drug production system by non-virus bio-technology,02/04/2003,HOU YUNDE [CN]  DUAN ZHAOJUN [CN]  SHU YUELONG [CN],China,en,CN,DONGKANGLONG VIRUS BIO TECHNOL [CN],4676593,establishment drug production system nonvirus biotechnology
CN102329783A,Prodenia litura gene engineering virus No.3 and building method thereof,25/01/2012,JIANG ZHU  GUANQIN PU  DALEI GUO  WENBING WANG  XINXIN TANG  XINGLU SUN  QILIAN QIN,China,en,CN,UNIV SOOCHOW,45481746,prodenia litura gene engineering virus building method thereof
CN1477964A,Treatment of neoplasms with viruses,25/02/2004,ROBERTS M S [US]  LORENCE R M [US]  GROENE W S [US],China,en,CN,PRO VIRUS INC [US],23124408,treatment neoplasms viruses
CN101618049A,Treatment of neoplasms with viruses,06/01/2010,ROBERTS MICHAEL S  LORENCE ROBERT M  GROENE WILLIAM S  HARVEY RABIN  VON BORSTEL REID W,China,en,CN,PRO VIRUS INC,25487533,treatment neoplasms viruses
EP3070095A1  EP3070095A4  EP3070095B1,"ADENO-ASSOCIATED VIRUS WITH SITE-DIRECTED MUTAGENESIS AND SITE-DIRECTED MODIFICATION, AND PREPARATION METHOD AND APPLICATION THEREFOR",2016-09-21  2017-06-14  2021-04-28,ZHOU DEMIN [CN]  ZHANG CHUANLING [CN]  XIAO SULONG [CN]  YAO TIANZHUO [CN]  ZHENG YONGXIANG [CN]  YU FEI [CN]  SI LONGLONG [CN]  ZHANG LIHE [CN],European Patent Office (EPO),de,EP,UNIV BEIJING [CN],53003369,adenoassociated virus sitedirected mutagenesis sitedirected modification preparation method application therefor
EP0175852A2  EP0175852A3  EP0175852B1,Method for producing useful substances using genetically engineered viral DNA.,1986-04-02  1987-09-16  1992-01-15,MAEDA SUSUMU  FURUSAWA MITSURU C O DAIICHI S,European Patent Office (EPO),en,EP,DAIICHI SEIYAKU CO [JP],14979338,method producing useful substances using genetically engineered viral dna
EP3103866A1  EP3103866A4  EP3103866B1,"PORCINE PSEUDORABIES VIRUS ATTENUATING METHOD, VIRAL STRAINS ATTENUATED THEREBY, VACCINE COMPOSITION AND APPLICATION THEREOF",2016-12-14  2017-10-04  2021-09-08,TIAN KEGONG [CN]  TAN FEIFEI [CN]  SUN JINZHONG [CN]  ZHANG XUKE [CN],European Patent Office (EPO),vi,EP,PULIKE BIOLOGICAL ENG INC [CN],54568841,porcine pseudorabies virus attenuating method viral strains attenuated thereby vaccine composition application thereof
CN101092456A  CN101092456B,Gene engineering antibody of human source neutrality for anti virus H5N1 of bird flu,2007-12-26  2010-11-10,MIFANG LIANG [CN]  LINA SUN [CN]  DEXIN LI [CN]  YUELONG SHU [CN]  QINZHI LIU [CN]  CHUAN LI [CN]  QUANFU ZHANG [CN]  YUELONG SHU  LINA SUN  QINZHI LIU  CHUAN LI  QUANFU ZHANG  DEXIN LI  MIFANG LIANG,China,en,CN,INST OF VIRUS PREVENTION & CON [CN]  INST VIRAL DISEASE CONTROL & PREVENTION CHINESE CT DISEASE CONTROL & PREVENTION,38990906,gene engineering antibody human source neutrality anti virus hn bird flu
CN1796563A,Cell line of transgene mammal with fusion antigen of S (main protein) and previous SI (large protein) of hepatitis B surface expressed in high efficiency,05/07/2006,TIAN SHUFANG RUAN [CN],China,en,CN,STATION OF VIRUS PREVENTION & [CN],36817878,cell line transgene mammal fusion antigen main protein previous si large protein hepatitis b surface expressed high efficiency
EP3075849A1  EP3075849A4  EP3075849B1,METHOD FOR QUANTIFYING ADENO-ASSOCIATED VIRUS,2016-10-05  2017-06-14  2019-03-13,AKASHIKA TAMAKI [JP]  DODO KATSUYUKI [JP]  KITAGAWA MASANARI [JP],European Patent Office (EPO),de,EP,TAKARA BIO INC [JP],53199160,method quantifying adenoassociated virus
EP0281803A1,Immunogenic fusion proteins containing Epstein-Barr virus protein.,14/09/1988,MULLER-LANTZSCH NIKOLAUS PROF  NUBLICH MICHA  BOOS HARALD  SCHUY WILHELM DR  BROKER MICHAEL DR,European Patent Office (EPO),en,EP,BEHRINGWERKE AG [DE],6321849,immunogenic fusion proteins containing epsteinbarr virus protein
CN103060343A,Duck plague virus g E protein genes and application thereof,24/04/2013,WEI BO  LING HONGLI  XU LILI  WANG RUIZHI,China,en,CN,QINGDAO CONTINENT ANIMAL PHARMACEUTICAL CO LTD  QINGDAO BOITE BIOPHARM CO LTD,48103239,duck plague virus g e protein genes application thereof
