Document_ID,Date_Publish,Inventor,Title,PayPatent,Patent_Language,Description
US RE48960 E,4/11/2024,Ölschläger; Tobias et al.,"['ZWITTERIONIC', 'ZINC', 'II', 'CARBOXYLATE', 'COMPOUNDS', 'AND', 'THEIR', 'USE']",United States,en,zwitterionic zinc ii carboxylate compounds use
US RE48908 E,4/11/2024,Öberg; Hans Daniel,['REAGENTS'],United States,pl,zwitterionic reagents
US RE48890 E,4/11/2024,ÖZÇELIK; Merih et al.,"['polymers', 'linkages']",United States,en,zwitterionic polymers biomimetic adhesive linkages
US RE48714 E,4/11/2024,ÖZAYMAN; Nuri Murat,"['ZWITTERIONIC', 'POLYMER', 'PARTICLE', 'COMPOSITIONS', 'AND', 'RELATED', 'METHODS']",United States,de,zwitterionic polymer particle compositions and related methods
US RE48711 E,4/11/2024,ÖSTBERG; Christian,"['polymer', 'bioconjugates', 'methods']",United States,en,zwitterionic polymer bioconjugates related methods
US RE48680 E,4/11/2024,ÖRÇEN; Arda,"['poly', 'arylene', 'sulfone', 'polymer', 'synthesis', 'route', 'applications', 'desalination', 'membranes']",United States,en,zwitterionic poly sulfobetaine arylene ether sulfone polymer synthesis route applications desalination membranes
US RE48665 E,4/11/2024,ÖHRVIK; Anders et al.,"['poly', 'arylene', 'sulfone', 'polymer', 'synthesis', 'route', 'applications', 'desalination', 'membranes']",United States,en,zwitterionic poly sulfobetaine arylene ether sulfone polymer synthesis route applications desalination membranes
US RE48663 E,4/11/2024,ÕUNAP; Kadri et al.,"['ZWITTERIONIC', 'NANOPARTICLES']",United States,pl,zwitterionic nanoparticles
US RE48656 E,4/11/2024,Çakar; Güniz et al.,"['ZWITTERIONIC', 'MONOMERS', 'POLYZWITTERIONIC', 'POLYMERS', 'FORMED', 'THEREFROM', 'SURFACE', 'FUNCTIONALIZATION', 'AND', 'SURFACE', 'MODIFICATION']",United States,de,zwitterionic monomers polyzwitterionic polymers formed therefrom surface functionalization and surface modification
US RE48622 E,4/11/2024,Çakar; Güniz et al.,"['immunomodulators', 'treatment', 'asthma', 'allergy']",United States,en,zwitterionic immunomodulators treatment asthma allergy
US RE48468 E,4/11/2024,Åvist; Pyry et al.,"['Zwitterionic', 'polymers', 'deflocculants', 'water', 'drilling', 'fluids']",United States,en,zwitterionic functionalized polymers deflocculants water based drilling fluids
US RE48366 E,4/11/2024,Åsberg; Peter et al.,"['ZWITTERIONIC', 'DENDRITIC', 'AMPHIPHILES', 'ZWITTERIONIC', 'DENDRIMERS', 'ZWITTERIONIC', 'TELODENDRIMERS', 'NANOCARRIERS', 'COMPRISING', 'SAME', 'AND', 'METHODS', 'OF', 'MAKING', 'AND', 'USING', 'SAME']",United States,de,zwitterionic dendritic amphiphiles zwitterionic dendrimers zwitterionic telodendrimers nanocarriers comprising same and methods of making and using same
US RE48171 E,4/11/2024,Ågerstam; Helena et al.,"['ZWITTERIONIC', 'COPOLYMERS', 'FOR', 'FOULING', 'RESISTANT', 'FILTRATION', 'MEMBRANES']",United States,de,zwitterionic copolymers for fouling resistant filtration membranes
US RE48150 E,4/11/2024,Ågerstam; Helena et al.,"['ZWITTERIONIC', 'BIOCOMPATIBLE', 'POLYMERS', 'METHODS', 'AND', 'USES', 'THEREOF']",United States,de,zwitterionic biocompatible polymers methods and uses thereof
US RE47770 E,4/11/2024,ÅHNBLAD; Susanne et al.,"['ACRIDINIUM', 'COMPOUNDS']",United States,en,zwitterion-containing acridinium compounds
US RE47628 E,4/11/2024,Álvarez Puebla; Ramón Ángel et al.,"['ZWITTERION', 'SURFACE', 'MODIFICATIONS', 'FOR', 'CONTINUOUS', 'SENSORS']",United States,de,zwitterion surface modifications for continuous sensors
US RE47533 E,4/11/2024,ÁLVAREZ VALLINA; Luis et al.,"['Zwitterion', 'Polymer-Drug', 'Conjugates']",United States,en,zwitterion polymer-drug conjugates
US RE47493 E,4/11/2024,{hacek over (S)}ev{hacek over (c)}enko; Aleksandr et al.,"['Zvwf1', 'member', 'von', 'willebrand', 'factor', 'domain']",United States,en,zvwf1 member von willebrand factor type domain superfamily
US RE47452 E,4/11/2024,{hacek over (S)}ev{hacek over (c)}enko; Aleksandr et al.,"['ZUCCHINI', 'HYBRID', 'SV9480YG', 'AND', 'PARENTS', 'THEREOF']",United States,de,zucchini hybrid sv9480yg and parents thereof
US RE47223 E,4/11/2024,{hacek over (C)}urin-{hacek over (S)}erbec; Vladka,"['ZUCCHINI', 'HYBRID', 'SV9441YG', 'AND', 'PARENTS', 'THEREOF']",United States,de,zucchini hybrid sv9441yg and parents thereof
US RE46906 E,4/11/2024,{hacek over (C)}ermák; Tomá{hacek over (s)} et al.,"['Ztnfr14', 'tumor', 'necrosis', 'factor', 'receptor']",United States,en,ztnfr14 tumor necrosis factor receptor
US RE46843 E,4/11/2024,{hacek over (C)}erm?k; Tom?{hacek over (s)} et al.,"['ZTNFR14', 'A', 'Tumor', 'Necrosis', 'Factor', 'Receptor']",United States,en,ztnfr14 tumor necrosis factor receptor
US RE46608 E,4/11/2024,"zur Megede, Jan  et al.","['Ztnf13', 'tumor', 'necrosis', 'factor']",United States,en,ztnf13 tumor necrosis factor
US RE46425 E,4/11/2024,zur Hausen; Harald et al.,"['Ztnf12', 'tumor', 'necrosis', 'factor']",United States,en,ztnf12 tumor necrosis factor
US RE46351 E,4/11/2024,zhou; Rui et al.,"['Ztnf11', 'tumor', 'necrosis', 'factor']",United States,en,ztnf11 tumor necrosis factor
US RE46276 E,4/11/2024,yeh; Pai-chang et al.,"['Zsig67', 'member', 'hormone', 'family']",United States,en,zsig67 member human secretin-glucagon-vip hormone family
US RE46192 E,4/11/2024,vonMeier; James J.,['peptides'],United States,da,zsig33-like peptides
US RE46033 E,4/11/2024,von der Lippe; Carsten,"['ZSCAN4', 'A', 'MARKER', 'FOR', 'PANCREATIC', 'STEM', 'CELLS', 'AND', 'PROGENITOR', 'CELLS', 'AND', 'USE', 'THEREOF']",United States,en,zscan4 marker pancreatic stem cells progenitor cells use thereof
US RE45968 E,4/11/2024,"von der Eltz, Herbert  et al.","['ZOONOTIC', 'DISEASE', 'RNA', 'VACCINES']",United States,de,zoonotic disease rna vaccines
US RE45559 E,4/11/2024,von Wussow; Peter,"['Zoom', 'Lens', 'unit', 'device']",United States,en,zoom lens unit photographic device using
US RE44779 E,4/11/2024,von Tersch; Michael A. et al.,"['ZONISAMIDE', 'AND', 'NSAID', 'NANOPARTICULATE', 'FORMULATIONS']",United States,de,zonisamide and nsaid nanoparticulate formulations
US RE44596 E,4/11/2024,"von Styp-Rekowski, Nrman H.  et al.",['gown'],United States,en,zoned surgical gown
US RE44031 E,4/11/2024,von Stein; Walter et al.,"['network', 'isolation']",United States,en,zoned mesh network isolation
US RE43612 E,4/11/2024,von Schulthess; Gustav K. et al.,"['Zone', 'master', 'control', 'panel', 'dock', 'equipment']",United States,es,zone specific remote master control panel for loading dock equipment
US RE43135 E,4/11/2024,von Schulthess; Gustav K. et al.,"['ZONE', 'DRIVE', 'DATA', 'FORMAT']",United States,de,zone drive data format
US RE43097 E,4/11/2024,"von Schroeder, Herbert Peter  et al.","['ZONE', 'CLASSIFICATION', 'OF', 'ELECTRONIC', 'MAIL', 'MESSAGES']",United States,de,zone classification of electronic mail messages
US RE43096 E,4/11/2024,von Schlegell; Victor et al.,"['necrosis', 'markers', 'method', 'use', 'thereof']",United States,en,zone 3 necrosis associated markers method use thereof
US RE42761 E,4/11/2024,von Schenck; Erik et al.,"['ZONAL', 'CENTRIFUGE', 'ATTACHMENT']",United States,en,zonal centrifuge attachment
US RE42461 E,4/11/2024,von Schack; David Johannes et al.,"['Zona', 'Pellucida', 'Binding', 'Peptides', 'Expression', 'Vectors', 'Compositions', 'Methods', 'Species', 'Specific', 'Immunocontraception', 'Animals']",United States,en,zona pellucida binding peptides expression vectors compositions methods species specific immunocontraception animals
US RE42190 E,4/11/2024,von Sanden; Darby Henry,"['ZnWO4', 'material', 'oxygen', 'vacancy', 'preparation', 'method', 'thereof']",United States,en,znwo4 photocatalytic material oxygen vacancy preparation method thereof
US RE42126 E,4/11/2024,von Roemeling; Reinhard et al.,"['ZnT8', 'assays', 'drug', 'development', 'compositions']",United States,en,znt8 assays drug development pharmaceutical compositions
US RE42051 E,4/11/2024,von Roemeling; Reinhard et al.,"['ZNF532', 'FOR', 'DIAGNOSIS', 'AND', 'TREATMENT', 'OF', 'CANCER']",United States,de,znf532 for diagnosis and treatment of cancer
US RE41887 E,4/11/2024,von Roemeling; Reinhard et al.,"['ZNF365/ZFP365', 'Biomarker', 'Predictive', 'Anti-Cancer', 'Response']",United States,en,znf365 zfp365 biomarker predictive anti-cancer response
US RE41868 E,4/11/2024,von Rheinbaben; Friedrich et al.,"['ZNF206', 'Novel', 'Regulator', 'Embryonic', 'Stem', 'Cell', 'Self-renewal', 'Pluripotency']",United States,en,znf206 novel regulator embryonic stem cell self-renewal pluripotency
US RE41408 E,4/11/2024,von Rheinbaben; Friedrich et al.,"['PROTEIN', 'RELATED', 'TO', 'GRAY', 'LEAF', 'SPOT', 'RESISTANCE', 'AND', 'ENCODING', 'GENE', 'AND', 'APPLICATION', 'THEREOF']",United States,de,zmwak-rlk protein related to gray leaf spot resistance and encoding gene and application thereof
US RE41145 E,4/11/2024,von Reis; Charles et al.,"['PLANT', 'SIGNAL', 'TRANSDUCTION', 'GENE', 'AND', 'PROMOTER']",United States,de,zmtcrr-1 plant signal transduction gene and promoter
US RE41005 E,4/11/2024,von Recum; Horst A. et al.,"['ZmAxig1', 'polynucleotides', 'methods', 'use']",United States,en,zmaxig1 polynucleotides methods use
US RE40943 E,4/11/2024,von Recum; Horst A. et al.,"['Zlrr3', 'repeat', 'protein']",United States,en,zlrr3 human leucine-rich repeat protein
US RE40940 E,4/11/2024,von Recum; Horst A. et al.,"['Ziyuglycoside', 'II', 'Polymer', 'Micelle', 'Preparative', 'Methods', 'Thereof']",United States,en,ziyuglycoside ii polymer micelle preparative methods thereof
US RE40862 E,4/11/2024,von Oepen; Randolf,"['acid', 'amino', 'acid', 'sequences', 'secretory', 'pathway', 'regulation', 'phenotype', 'nep']",United States,en,zis-sr nucleic acid amino acid sequences involved regulated secretory pathway regulation neuroendocrine phenotype nep
US RE40786 E,4/11/2024,von Mueller; Clay et al.,"['CYSTEINE', 'ENGINEERED', 'ANTIBODY', 'CONJUGATES']",United States,en,zirconium-radiolabeled cysteine engineered antibody conjugates
US RE40733 E,4/11/2024,von Mueller; Clay et al.,"['additives', 'fuel', 'oil']",United States,pt,zirconium-cerium additives residual fuel oil
US RE40722 E,4/11/2024,von Mueller; Clay W. et al.,"['OXINE', 'COMPLEX', 'A', 'CELL', 'LABELING', 'AGENT', 'FOR', 'POSITRON', 'EMISSION', 'TOMOGRAPHY']",United States,en,zirconium-89 oxine complex cell labeling agent positron emission tomography
US RE40449 E,4/11/2024,"von Mueller, Clay  et al.","['ZIRCONIUM', 'POLYMER', 'COMPOSITION', 'WITH', 'METAL', 'PARTICLES', 'HAVING', 'BIOLOGICAL', 'CONTAMINANT', 'REMOVAL', 'PROPERTIES']",United States,en,zirconium polymer composition metal particles biological contaminant removal properties
US RE40374 E,4/11/2024,von Medlin; Wallace,"['ZIRCONIUM', 'PHOSPHATE', 'RECHARGING', 'METHOD', 'AND', 'APPARTUS']",United States,de,zirconium phosphate recharging method and appartus
US RE40233 E,4/11/2024,von Maltzahn; Geoffrey et al.,"['Zirconium', 'phosphate', 'disinfection', 'recharging', 'conditioning']",United States,en,zirconium phosphate disinfection recharging conditioning
US RE40020 E,4/11/2024,von Maltzahn; Geoffrey et al.,['Zirconium'],United States,ro,zirconium oxide module conditioning
US RE39920 E,4/11/2024,von Maltzahn; Geoffrey et al.,"['Zirconium', 'hydroxide', 'metal', 'heteropolyacid', 'catalysts']",United States,en,zirconium hydroxide supported metal heteropolyacid catalysts
US RE39849 E,4/11/2024,von Maltzahn; Geoffrey et al.,"['alloy', 'tin', 'nitrogen', 'additions']",United States,en,zirconium alloy tin nitrogen niobium additions
US RE39760 E,4/11/2024,von Maltzahn; Geoffrey et al.,"['alloy', 'ductility']",United States,en,zirconium alloy superior ductility
US RE39738 E,4/11/2024,von Maltzahn; Geoffrey A. et al.,"['alloy', 'corrosion', 'resistance']",United States,en,zirconium alloy superior corrosion resistance
US RE39498 E,4/11/2024,von Maltzahn; Geoffrey A. et al.,"['alloy', 'post-irradiation', 'properties']",United States,en,zirconium alloy improved post-irradiation properties
US RE39494 E,4/11/2024,von Maltzahn; Geoffrey A. et al.,"['Zirconium', 'tube', 'layer']",United States,en,zirconium alloy tube boron-containing layer
US RE39485 E,4/11/2024,von Maltzahn; Geoffrey A. et al.,"['Zirconium', 'alloy', 'isotopic', 'erbium']",United States,en,zirconium alloy containing isotopic erbium
US RE39457 E,4/11/2024,von Maltzahn; Geoffrey A. et al.,"['Zirconium', 'layer']",United States,en,zirconium alloy absorber layer
US RE39432 E,4/11/2024,von Maltzahn; Geoffrey A. et al.,"['Zirconium', 'additives', 'fuel', 'oil']",United States,ca,zirconium additives for residual fuel oil
US RE39396 E,4/11/2024,von Maltzahn; Geoffrey A. et al.,"['Zirconium', 'additives', 'fuel', 'oil']",United States,ca,zirconium additives for residual fuel oil
US RE39370 E,4/11/2024,von Maltzahn; Geoffrey A. et al.,"['clays', 'micas']",United States,en,zirconia-pillared clays micas
US RE39369 E,4/11/2024,von Maltzahn; Geoffrey A. et al.,['catalysts'],United States,en,zirconia-containing catalysts
US RE39282 E,4/11/2024,von Maltzahn; Geoffrey A. et al.,"['Zipper', 'protein', 'kindase', 'thereof']",United States,en,zipper protein kindase uses thereof
US RE39238 E,4/11/2024,von Maltzahn; Geoffrey A. et al.,"['Zipper', 'pouch', 'mask', 'beanie']",United States,en,zipper pouch integrated moldable sleeping mask retractable beanie
US RE39094 E,4/11/2024,von Maltzahn; Geoffrey A. et al.,"['ZIP12', 'ANTIBODY']",United States,de,zip12 antibody
US RE39082 E,4/11/2024,von Maltzahn; Geoffrey A. et al.,"['cable', 'F-connector']",United States,ro,zip-grip coaxial cable f-connector
US RE39073 E,4/11/2024,von Maltzahn; Geoffrey A. et al.,"['Zinnia', 'Line', 'SAKZIN020']",United States,de,zinnia line sakzin020
US RE39042 E,4/11/2024,von Maltzahn; Geoffrey A. et al.,"['interferon', 'complex']",United States,it,zinc-protamine-alpha interferon complex
US RE39031 E,4/11/2024,von Maltzahn; Geoffrey A. et al.,"['compound', 'electrochemical', 'cell', 'electrode', 'method']",United States,en,zinc-halogen compound electrochemical cell auxiliary electrode method
US RE38994 E,4/11/2024,von Maltzahn; Geoffrey A. et al.,"['NUCLEASE', 'AND', 'RNA', 'INTERFERENCE', 'MEDIATED', 'INACTIVATION', 'OF', 'VIRAL', 'GENOMES']",United States,de,zinc-finger nuclease and rna interference mediated inactivation of viral genomes
US RE38981 E,4/11/2024,von Malsen-Ponickau; Egbert F.,"['COMPOSITIONS', 'THE', 'TREATMENT', 'OF', 'DISEASES', 'ILLNESSES', 'AND', 'SYNDROMES', 'ASSOCIATED', 'WITH', 'EXPOSURE', 'TO', 'PORE', 'FORMING', 'TOXINS']",United States,en,zinc-containing compositions treatment diseases illnesses syndromes associated exposure pore forming toxins
US RE38828 E,4/11/2024,von Laer; Meike-Dorothee,"['batteries', 'electrolyte']",United States,en,zinc-bromine batteries improved electrolyte
US RE38827 E,4/11/2024,von Knebel-Doeberitz; Magnus et al.,"['Zinc-binder', 'EBNA1-Specific', 'Compounds']",United States,en,zinc-binder based ebna1-specific compounds
US RE38825 E,4/11/2024,von Izstein; Laurence M. et al.,"['NANOHYBRIDS', 'DEVICES', 'AND', 'METHODS', 'THEREOF']",United States,de,zinc-based nanohybrids devices and methods thereof
US RE38824 E,4/11/2024,von Hollen; Richard Frederick,"['compositions', 'methods', 'use']",United States,en,zinc-based compositions methods use
US RE38793 E,4/11/2024,von Hofe; Eric et al.,"['alloy', 'coatings', 'steel']",United States,en,zinc-aluminum alloy coatings steel
US RE38558 E,4/11/2024,"von Hoersten, Stephan  et al.","['Zinc', 'II', 'complexes', 'methods', 'thereto']",United States,en,zinc ii complexes methods related thereto
US RE38506 E,4/11/2024,von Hoegen; Ilka et al.,"['Zinc', 'salt', 'compositions', 'prevention', 'irritation']",United States,en,zinc salt compositions prevention dermal mucosal irritation
US RE38490 E,4/11/2024,von Hatten; Xavier et al.,"['Zinc', 'salt', 'compositions', 'prevention', 'irritation']",United States,en,zinc salt compositions prevention dermal mucosal irritation
US RE38485 E,4/11/2024,von Gravrock; Einaras et al.,"['Zinc', 'salt', 'compositions', 'prevention', 'irritation']",United States,en,zinc salt compositions prevention dermal mucosal irritation
US RE38446 E,4/11/2024,von Eije; Karin J. et al.,"['Zinc', 'salt', 'compositions', 'prevention', 'irritation']",United States,en,zinc salt compositions prevention dermal mucosal irritation
US RE38442 E,4/11/2024,von Eichel-Streiber; Christoph et al.,"['Zinc', 'Porters', 'Antibody', 'Conjugates', 'Prevention', 'Treatment', 'COVID-19', 'SARS-CoV-2', 'Infections', 'Cancers']",United States,en,zinc porters monoclonal antibody conjugates prevention treatment covid-19 sars-cov-2 infections cancers
US RE38431 E,4/11/2024,von Eichborn; Johann-Friedrich et al.,"['Zinc', 'phosphorus', 'oxide', 'zinc', 'oxide', 'compositions']",United States,en,zinc phosphorus oxide zinc arsenic oxide compositions
US RE38430 E,4/11/2024,von Eichborn; Johann-Friedrich et al.,"['ZINC', 'OXIDE-BINDING', 'ANTIBODY', 'AND', 'USE', 'THEREOF']",United States,de,zinc oxide-binding antibody and use thereof
US RE38417 E,4/11/2024,"von Dreusche, Jr.; Charles F. et al.","['Zinc', 'Copper', 'II', 'Salt', 'Use', 'Thereof', 'Biocide']",United States,en,zinc copper ii salt use thereof biocide
US RE38416 E,4/11/2024,"von Dreusche, Jr.; Charles F. et al.","['ZINC', 'MOLYBDATE', 'HAVING', 'A', 'TRICLINIC', 'CRYSTAL', 'STRUCTURE', 'AN', 'ANTIMICROBIAL', 'AGENT']",United States,en,zinc molybdate triclinic crystal structure antimicrobial agent
US RE38394 E,4/11/2024,"von Dreusche, Jr.; Charles F. et al.","['Zinc', 'meloxicam', 'microparticle', 'formulations', 'processes']",United States,en,zinc meloxicam complex microparticle multivesicular liposome formulations processes making
US RE38392 E,4/11/2024,"von Dreusche, Jr.; Charles F.","['Zinc', 'spinel', 'metal', 'stabilizer', 'oxygen', 'storage', 'material', 'resistant']",United States,en,zinc manganese-iron spinel alkali metal stabilizer oxygen storage material resistant rich lean aging
US RE38386 E,4/11/2024,"von Dreusche, Jr.; Charles F.","['ZINC', 'KNUCKLE', 'PROTEINS']",United States,pl,zinc knuckle proteins
US RE38252 E,4/11/2024,"von Dreusche, Jr.; Charles F.","['Zinc', 'gluconate', 'gel', 'compositions']",United States,it,zinc gluconate gel compositions
US RE38238 E,4/11/2024,"von Dreusche, Jr.; Charles F.","['formulations', 'treatment', 'cold']",United States,en,zinc formulations prophylactic treatment common cold
US RE38165 E,4/11/2024,"von Dreusche, Jr.; Charles F.","['Zinc', 'compounds']",United States,en,zinc finger-reactive antimicrobial compounds
US RE38132 E,4/11/2024,"von Dreusche, Jr.; Charles F.","['gene', 'regulation', 'system']",United States,da,zinc finger-based drug-dependent gene regulation system
US RE37979 E,4/11/2024,von Deessen; Ulrich et al.,"['Zinc', 'finger', 'affinity', 'DNA', 'binding', 'specificities']",United States,en,zinc finger proteins high affinity new dna binding specificities
US RE37919 E,4/11/2024,von Brandenstein; Melanie et al.,"['Zinc', 'finger', 'proteins', 'DNA', 'binding', 'gene', 'regulation', 'plants']",United States,en,zinc finger proteins dna binding gene regulation plants
US RE37899 E,4/11/2024,von Borstel; Reid et al.,"['Zinc', 'finger', 'proteins', 'dna', 'binding', 'gene', 'regulation', 'plants']",United States,en,zinc finger proteins dna binding gene regulation plants
US RE37796 E,4/11/2024,von Borstel; Reid et al.,"['Zinc', 'finger', 'proteins', 'plant', 'meristem']",United States,en,zinc finger proteins expressed plant meristem
US RE37781 E,4/11/2024,von Borstel; Reid et al.,"['Zinc', 'finger', 'proteins']",United States,de,zinc finger proteins
US RE37582 E,4/11/2024,von Borstel; Reid Warren et al.,"['Zinc', 'Finger', 'Protein-Superoxide', 'Dismutase', 'Fusion', 'Protein', 'Cell', 'Membrane', 'Penetrating', 'Property']",United States,de,zinc finger protein-superoxide dismutase fusion protein with cell membrane penetrating property
US RE37525 E,4/11/2024,von Borstel; Reid W. et al.,"['Zinc', 'Finger', 'Protein', 'Transcription', 'Factors', 'Treatment', 'Prion', 'Disease']",United States,en,zinc finger protein transcription factors treatment prion disease
US RE37462 E,4/11/2024,von Borstel; Reid W. et al.,"['ZINC', 'FINGER', 'PROTEIN', 'TRANSCRIPTION', 'FACTORS', 'FOR', 'REPRESSING', 'TAU', 'EXPRESSION']",United States,de,zinc finger protein transcription factors for repressing tau expression
US RE37381 E,4/11/2024,von Borstel; Reid W. et al.,"['Zinc', 'Finger', 'Protein', 'Transcription', 'Factors', 'Alpha-Synuclein', 'Expression']",United States,en,zinc finger protein transcription factors repressing alpha-synuclein expression
US RE37251 E,4/11/2024,von Borstel; Reid W. et al.,"['Zinc', 'finger', 'protein', 'derivatives', 'methods']",United States,en,zinc finger protein derivatives methods therefor
US RE37046 E,4/11/2024,von Borstel; Reid W. et al.,"['Zinc', 'finger', 'protein', 'derivatives', 'methods']",United States,en,zinc finger protein derivatives methods therefor
US RE36736 E,4/11/2024,von Borstel; Reid W. et al.,"['Zinc', 'finger', 'protein', 'derivatives', 'methods']",United States,en,zinc finger protein derivatives methods therefor
US RE36675 E,4/11/2024,von Borstel; Reid W. et al.,"['Zinc', 'finger', 'protein', 'derivatives', 'methods']",United States,en,zinc finger protein derivatives methods using
US RE36605 E,4/11/2024,von Borstel; Reid W.,"['ZINC', 'FINGER', 'PROTEIN', 'COMPOSITIONS', 'FOR', 'MODULATION', 'OF', 'HUNTINGTIN', 'HTT']",United States,de,zinc finger protein compositions for modulation of huntingtin htt
US RE36536 E,4/11/2024,"von Borstel, Reid W.  et al.","['Zinc', 'finger', 'polypeptides', 'DNA', 'quadruplexes']",United States,en,zinc finger polypeptides capable binding dna quadruplexes
US RE36449 E,4/11/2024,"von Borstel, Reid W.  et al.","['ZINC', 'FINGER', 'NUCLEASE-MEDIATED', 'HOMOLOGOUS', 'RECOMBINATION']",United States,de,zinc finger nuclease-mediated homologous recombination
US RE36363 E,4/11/2024,von Bogdandy; Ludwig et al.,"['ZINC', 'FINGER', 'NUCLEASE', 'VARIANTS', 'FOR', 'TREATING', 'OR', 'PREVENTING', 'LYSOSOMAL', 'STORAGE', 'DISEASES']",United States,de,zinc finger nuclease variants for treating or preventing lysosomal storage diseases
US RE36222 E,4/11/2024,von Blucher; Hasso et al.,"['ZINC', 'FINGER', 'NUCLEASE', 'MODIFICATION', 'OF', 'LEUCINE', 'RICH', 'REPEAT', 'KINASE', 'LRRK2', 'MUTANT', 'FIBROBLASTS', 'AND', 'IPSCS']",United States,de,zinc finger nuclease modification of leucine rich repeat kinase 2 lrrk2 mutant fibroblasts and ipscs
US RE36187 E,4/11/2024,von Blucher; Hasso et al.,"['ZINC', 'FINGER', 'NUCLEASE', 'FOR', 'THE', 'CFTR', 'GENE', 'AND', 'METHODS', 'OF', 'USE', 'THEREOF']",United States,en,zinc finger nuclease cftr gene methods use thereof
US RE35857 E,4/11/2024,von Blucher; Hasso et al.,"['Zinc', 'finger', 'libraries']",United States,ro,zinc finger libraries
US RE35824 E,4/11/2024,von Behr; Diedrich et al.,"['ZINC', 'FINGER', 'FUSION', 'PROTEINS', 'FOR', 'NUCLEOBASE', 'EDITING']",United States,de,zinc finger fusion proteins for nucleobase editing
US RE35776 E,4/11/2024,von Beck; Harold F. V.,"['Zinc', 'finger', 'ejectors', 'methods', 'use', 'thereof']",United States,en,zinc finger ejectors methods use thereof
US RE35491 E,4/11/2024,"von Bahr, Pontus  et al.","['ZINC', 'FINGER', 'DOMAINS', 'SPECIFICALLY', 'BINDING', 'AGC']",United States,de,zinc finger domains specifically binding agc
US RE35465 E,4/11/2024,von Andrian; Ulrich et al.,"['Zinc', 'finger', 'domains', 'methods']",United States,en,zinc finger domains methods identifying
US RE35450 E,4/11/2024,von Andrian; Ulrich H. et al.,"['Zinc', 'finger', 'domain', 'recognition', 'code', 'thereof']",United States,en,zinc finger domain recognition code uses thereof
US RE35387 E,4/11/2024,von Andrian; Ulrich H. et al.,"['Zinc', 'finger', 'domain', 'recognition', 'code', 'thereof']",United States,en,zinc finger domain recognition code uses thereof
US RE35338 E,4/11/2024,von Andrian; Ulrich H. et al.,"['Zinc', 'finger', 'domain', 'libraries']",United States,ro,zinc finger domain libraries
US RE35313 E,4/11/2024,von Andrian; Ulrich H. et al.,"['ZINC', 'FINGER', 'DEGRADATION', 'DOMAINS']",United States,de,zinc finger degradation domains
US RE35152 E,4/11/2024,vom BERG; Johannes et al.,"['ZINC', 'FINGER', 'BINDING', 'DOMAINS', 'FOR', 'TNN']",United States,de,zinc finger binding domains for tnn
US RE34740 E,4/11/2024,vander Have; Leonard A.,"['Zinc', 'finger', 'domains', 'sequence', 'ANN']",United States,en,zinc finger binding domains nucleotide sequence ann
US RE34705 E,4/11/2024,van't Schip; Joannes Stefanus,"['Zinc', 'finger', 'domains', 'sequence', 'ANN']",United States,en,zinc finger binding domains nucleotide sequence ann
US RE34278 E,4/11/2024,van't OEVER; Arend Gesinus et al.,"['Zinc', 'finger', 'domains', 'GNN']",United States,en,zinc finger binding domains gnn
US RE34239 E,4/11/2024,van der Zweep; Menno et al.,"['Zinc', 'finger', 'domains', 'cnn']",United States,en,zinc finger binding domains cnn
