Numéro,Patent Number,Inventeur/org,Date de publication,country_code,country_name,description_language,Titre,Description
11,ca3178632a1,joint biosciences sh ltd cn,2021-11-18,ca,canada,fr,"['virus', 'oncolytique', 'en', 'association', 'avec', 'un', 'inhibiteur', 'de', 'point', 'de', 'controle', 'immunitaire', 'pour', 'le', 'traitement', 'de', 'tumeurs']","['la', 'prsente', 'demande', 'concerne', 'un', 'mdicament', 'destin', '', 'traiter', 'des', 'tumeurs.', 'une', 'nouvelle', 'souche', 'attnue', 'de', 'virus', 'oncolytique', 'est', 'obtenue', 'au', 'moyen', 'dune', 'mutation', 'dirige', 'sur', 'un', 'site', 'dune', 'protine', 'm', 'de', 'matrice', 'de', 'virus', 'de', 'type', 'sauvage', 'dun', 'virus', 'de', 'stomatite', 'vsiculaire.', 'sur', 'la', 'base', 'de', 'la', 'souche', 'attnue', 'de', 'virus', 'oncolytique', 'un', 'vaccin', 'contre', 'un', '...']"
12,cn1147555a,univ wuhan cn,1997-04-16,cn,china,en,"['gene', 'engineering-recombined', 'bacillary', 'virus', 'insecticide']","['present', 'invention', 'alfalfa', 'looper', 'nuclear', 'polyhedron', 'virus', 'acnpv', 'gene', 'remade', 'gene', 'engineering', 'process', 'constitute', 'two', 'kinds', 'transfer', 'carriers', 'clone', 'virus', 'gene', 'report', 'gene', 'expression', 'box', 'said', 'virus', 'gene', 'wild', 'recombined', 'acnpv', 'co-transfects', 'insect', 'cells', 'screen', 'two', 'kinds', 'recombined', 'virus', '...']"
13,cn100371449c a,univ suzhou cn,2008-02-27,cn,china,en,"['structural', 'method', 'improving', 'gene', 'engineering', 'vector', 'recombinant', 'silkworm', 'nuclear', 'polyhedron', 'virus']","['...the', 'process', 'constructing', 'gene', 'engineering', 'vector', 'reforming', 'recombining', 'silkworm', 'nuclear', 'polyhedron', 'virus', 'includes', 'following', 'steps', 'pcr', 'clone', 'chia', 'segment', 'cp', 'segment', 'virus', 'separately', 'cloning', 'two', 'segments', 'bacterium', 'plasmid', 'simultaneously...', 'polyhedron', 'virus', 'intermediate', 'plasmid', 'obtain', 'reformed', 'gene', 'engineering', 'vector', 'conventional', 'recombinant', 'silkworm', 'nuclear', 'polyhedron', 'virus', '...']"
14,cn109439634a b,jiangsu acad agricultural sci,2019-03-08,cn,china,en,"['pseudorabies', 'virus', 'gene', 'engineering', 'attenuated', 'vaccine', 'strain', 'application', 'thereof']","['...the', 'invention', 'provides', 'pseudorabies', 'virus', 'gene', 'engineering', 'attenuated', 'vaccine', 'strain', 'application', 'thereof', 'belongs', 'field', 'of...', 'gene', 'pseudorabies', 'virus', 'ah02la', 'strain', 'replacing', 'gd', 'gene', 'pseudorabies', 'virus', 'bartha', 'k61', 'strain', 'genome', 'gd', 'gene', 'pseudorabies', 'virus', 'ah02la', 'strain', 'sequence', 'gc', 'gene', 'pseudorabies', 'virus', 'ah02la', 'strain', '...']"
15,cn114774337a b,univ northeastern,2022-07-22,cn,china,en,"['hcov-229e', 'virus', 'detection', 'system', 'based', 'engineering', 'escherichia', 'coli']","['...the', 'invention', 'discloses', 'hcov-229e', 'virus', 'detection', 'system', 'based', 'engineering', 'escherichia', 'coli', 'belongs', 'field', 'genetic', 'engineering', 'engineering', 'escherichia', 'coli', 'comprises', 'pmrapmrb', 'bi-component', 'system', 'luxiluxr', 'quorum', 'sensing', 'system...', 'receptor', 'virus', 'recognition', 'protein', 'detected', 'according', 'infection', 'mechanism', 'coronavirus', 'combined', '...']"
16,cn114774425a b,univ northeastern,2022-07-22,cn,china,en,"['mers-cov', 'virus', 'detection', 'system', 'based', 'engineering', 'escherichia', 'coli']","['...the', 'invention', 'discloses', 'mers-cov', 'virus', 'detection', 'system', 'based', 'engineering', 'escherichia', 'coli', 'belongs', 'field', 'gene', 'engineering', 'engineering', 'escherichia', 'coli', 'comprises', 'pmrapmrb', 'bi-component', 'system', 'luxiluxr', 'quorum', 'sensing', 'system...', 'receptor', 'virus', 'recognition', 'protein', 'detected', 'according', 'infection', 'mechanism', 'coronavirus', 'combined', '...']"
17,cn1242428a,shanghai inst of biolog chemis cn,2000-01-26,cn,china,en,"['gene', 'engineering', 'carrier', 'recombination', 'salvation', 'linearization', 'silk', 'worm', 'nuclear', 'polyhedral', 'virus']","['present', 'invention', 'utilizes', 'wild', 'type', 'bombyx', 'mori', 'nuclear', 'polyhydrosis', 'virus', 'chinese', 'zhenjiang', 'strain', 'bmnpvzj8', 'genome', 'modification', 'type', 'autographa', 'california', 'multiple', 'nulcear', 'polyhedrosis', 'virus', 'acnpv', 'bacpak6', 'genome', 'make', 'homologous', 'recombination', 'bombyx', 'mori', 'cell', 'constitute', 'recombination', 'activation', 'linearizible', 'modification', 'type', 'bombyx', 'mori', 'nuclear', 'polyhydrosis', 'virus', 'gene', 'engineering', 'carrier', 'bmbacpak.', 'bmbacpak', 'contains', 'lacz', 'gene', 'two', '...']"
18,cn115957315a,univ yangzhou,2023-04-14,cn,china,en,"['preparation', 'method', 'fish', 'rhabdovirus', 'genetic', 'engineering', 'vaccine']","['...the', 'invention', 'discloses', 'preparation', 'method', 'fish', 'rhabdovirus', 'genetic', 'engineering', 'vaccine.', 'preparation', 'method', 'comprises', 'following', 'steps', 'preparing', 'baculovirus', 'expressing', 'snakehead', 'vesicular', 'virus', 'recombinant', 'glycoprotein', 'preparing', 'adjuvant', 'preparing', 'genetic', 'engineering', 'vaccine.', 'large...', 'channa', 'argus', 'vesicular', 'virus', 'glycoprotein', 'combined', 'high-efficiency', 'vaccine', 'adjuvant', 'prepare', 'channa', 'argus', 'vesicular', 'virus', 'genetic', 'engineering', 'vaccine.', '...']"
19,cn104498416a,wuhan engineering science  technology inst,2015-04-08,cn,china,en,"['recombinant', 'engineering', 'bacteria', 'ptd-cd46', 'fusion', 'protein', 'expression', 'use', 'thereof']","['...the', 'invention', 'provides', 'recombinant', 'engineering', 'bacteria', 'ptd-cd46', 'fusion', 'protein', 'expression', 'preparation', 'method', 'use', 'expression', 'products', 'recombinant', 'engineering', 'bacteria', 'improvement', 'hog', 'cholera', 'virus', 'culture', 'titer.', 'ptd-cd46', 'protein', 'expressed', 'the...', 'improve', 'virus', 'titer', 'cell', 'culture', 'swine', 'fever', 'viruses', 'solve', 'problem', 'existing', 'swine', 'fever', 'virus', 'cell', '...']"
20,cn104610455a b,univ qingdao agricultural,2015-05-13,cn,china,en,"['duck', 'tembusu', 'virus', 'genetic', 'engineering', 'subunit', 'vaccine']","['...the', 'objective', 'invention', 'provide', 'duck', 'tembusu', 'virus', 'genetic', 'engineering', 'subunit', 'vaccine.', 'according', 'invention', 'biotechnology', 'employed', 'antigenic', 'epitope', 'analysis', 'splicing', 'duck', 'tembusu', 'virus', 'e', 'protein', 'obtain...', 'duck', 'tembusu', 'virus', 'genetic', 'engineering', 'subunit', 'vaccine', 'amino', 'acid', 'sequence', 'coded', 'protein', 'novel', 'duck', '...']"
21,cn102618507a b,univ capital medical,2012-08-01,cn,china,en,"['recombinant', 'adeno-associated', 'virus', 'increasing', 'targeted', 'transduction', 'efficiency', 'adeno-associated', 'virus', 'application', 'recombinant', 'adeno-associated', 'virus']","['...the', 'invention', 'discloses', 'recombinant', 'adeno-associated', 'virus', 'increasing', 'targeted', 'transduction', 'efficiency', 'adeno-associated', 'virus', 'application', 'recombinant', 'adeno-associated', 'virus.', 'recombinant', 'adeno-associated', 'virus', 'contains', 'modified', 'vp2', 'protein', 'adeno-associated', 'virus', 'primary', 'vp1...', 'application', 'recombinant', 'adeno-associated', 'virus', 'gene', 'therapy', 'preparation', 'tissue', 'engineering', 'scaffold', 'materials.', 'recombinant', '...']"
22,ep0180012a1,asta werke ag chem fab de,1986-05-07,ep,european patent office epo,en,"['squence', 'de', 'polypeptide', 'immunogne', 'du', 'virus', 'de', 'lhpatite', 'b.']","['...an', 'immunogenic', 'peptide', 'sequence', 'hepatitis', 'b', 'virus', 'pre-s1', 'sequence', 'processes', 'preparing', 'peptides', 'monoclonal', 'antibodies', 'neutralise', 'hepatitis', 'b', 'virus', 'peptide', 'structures', 'described.', 'image', '...']"
23,cn115637260a,shanghai veterinary res institute chinese academy of agricultural sciences,2023-01-24,cn,china,en,"['genetically', 'engineered', 'vaccine', 'expressing', 'african', 'swine', 'fever', 'virus', 'p54', 'gene', 'recombinant', 'pseudorabies', 'virus', 'application', 'genetically', 'engineered', 'vaccine']","['...the', 'invention', 'provides', 'recombinant', 'pseudorabies', 'virus', 'gene', 'engineering', 'vaccine', 'expressing', 'african', 'swine', 'fever', 'virus', 'p54', 'gene', 'application', 'recombinant', 'pseudorabies', 'virus', 'gene', 'engineering', 'vaccine.', 'based', 'prv', 'js-2012-gige', 'strain', 'gene...', 'recombinant', 'pseudorabies', 'virus', 'gene', 'engineering', 'vaccine', 'obtained.', 'constructing', 'recombinant', 'pseudorabies', 'virus', 'gene', 'deletion', 'vaccine', 'strain', 'rprv', 'js', '...']"
24,cn101457215a b,univ huazhong agricultural cn,2009-06-17,cn,china,en,"['recombinant', 'porcine', 'pseudorabies', 'virus-porcine', 'propagate', 'breath', 'complex', 'virus-porcine', 'circovirus', 'genetic', 'engineering', 'strain', 'application']","['invention', 'belongs', 'animal', 'virus', 'genetic', 'engineering', 'technique', 'field', 'especially', 'recombinant', 'porcine', 'pseudorabies', 'virus-porcine', 'propagate', 'breath', 'complex', 'virus-porcine', 'circovirus', 'gene', 'engineering', 'strain', 'construction', 'vaccine', 'preparation', 'applications.', 'recombinant', 'porcine', 'pseudorabies', 'virus-porcine', 'propagate', 'breath', 'complex', 'virus-porcine', 'circovirus', 'gene', 'engineering', 'strain', 'e001', 'lacks', 'pseudorabies', 'virus', 'main', 'virulence', 'gene', 'tk', '...']"
25,cn107099510a b,harbin veterinary res institute caas,2017-08-29,cn,china,en,"['goat', 'pox', 'virus', 'vector', 'containing', 'novel', 'insertion', 'site', 'application']","['...the', 'invention', 'provides', 'goat', 'pox', 'vector', 'gene', 'engineering', 'strain', 'gtpv', 'delta135egfp', 'sheep', 'pox', 'virus', 'gene', 'engineering', 'strain...', 'cctcc', 'nov201715.', 'series', 'recombinant', 'virus', 'vaccine', 'strains', 'built', 'missing', '1350orf', 'selecting', 'positions', 'novel', 'insertion', 'sites.', 'recombinant', 'goat', 'pox', 'virus', 'vaccine', 'strain', 'expressing', 'h', 'gene', 'h', '...']"
26,wo2018157455a1,suzhou inst of systems medicine cn,2018-09-07,wo,world intellectual property organization wipo,fr,"['souche', 'du', 'virus', 'de', 'la', 'grippe', 'et', 'son', 'application']","['linvention', 'concerne', 'une', 'souche', 'du', 'virus', 'de', 'la', 'grippe', 'dont', 'le', 'numro', 'daccs', 'est', 'cgmcc', 'no.', '13784.', 'dans', 'ladite', 'souche', 'du', 'virus', 'de', 'la', 'grippe', 'une', 'squence', 'de', '15', 'nt', 'est', 'insre', 'derrire', 'un', '78me', 'nt', 'dune', 'rgion', 'codante', 'du', 'gne', 'm2', 'dune', 'souche', 'du', 'virus', 'de', 'la', 'grippe', 'de', 'type', 'sauvage', 'comme', 'reprsent', 'dans', 'la', '...']"
27,cn1186856a,wuhan virus inst chinese acade,1998-07-08,cn,china,en,"['rhabdovirus', 'transfer', 'carrier', 'containing', 'three', 'promoters']","['...', 'gene', 'promoter.', 'present', 'invention', 'relates', 'field', 'biological', 'gene', 'engineering', 'features', 'different', 'period', 'duplicating', 'recombined', 'virus', 'expression', 'three', 'exogenous', 'genes', 'controlled', 'separately.', 'present', 'invention', 'play', 'important', 'role', 'developing', 'combined', 'polyvalent', 'vaccine', 'multiple', 'recombined', 'antigon', 'diagnosis', 'reagent', 'recombined', 'polyvalent', 'virus', 'insecticide', 'etc.', '...']"
28,ep3012322a1 a4b1,pulike biolog engineering inc,2016-04-27,ep,european patent office epo,en,"['souche', 'de', 'dltion', 'de', 'gne', 'de', 'virus', 'de', 'pseudo-rage', 'porcine', 'composition', 'de', 'vaccin', 'et', 'son', 'procd', 'de', 'prparation', 'et', 'application', 'associe']","['present', 'invention', 'provides', 'attenuated', 'strain', 'porcine', 'pseudorabies', 'virus', 'prv', 'said', 'attenuated', 'strain', 'prv', 'is...']"
29,ep1487274a2 a4b1,univ duke us,2004-12-22,ep,european patent office epo,fr,"['tissue', 'engineering']","['aucun', 'abrg', 'disponible']"
30,us2022118075a1,beijing minhai biotechnology co ltd cn,2022-04-21,us,united states of america,en,"['hansenula', 'engineering', 'fungi', 'efficiently', 'expressing', 'ca10', 'virus-like', 'particles', 'use', 'thereof']","['...the', 'present', 'invention', 'provides', 'hansenula', 'engineering', 'fungus', 'efficiently', 'expresses', 'ca10', 'virus-like', 'particles', 'use', 'thereof.', 'engineering...', 'hansenula.', 'present', 'invention', 'also', 'provides', 'preparation', 'method', 'ca10', 'virus-like', 'particles', 'comprising', 'culturing', 'engineering', 'fungi', 'expressing', 'ca10', 'virus-like', 'particles', 'separating', 'purifying', 'virus-like', 'particles', 'ultrafiltration', 'three-step', 'chromatography.', 'ca10', 'virus-like', '...']"
31,cn113527516a b,lanzhou veterinary res inst caas,2021-10-22,cn,china,en,"['seneca', 'virus', 'type', 'genetic', 'engineering', 'composite', 'epitope', 'protein', 'vaccine', 'application', 'senecavirus', 'type', 'genetic', 'engineering', 'composite', 'epitope', 'protein', 'vaccine']","['invention', 'provides', 'seneca', 'virus', 'type', 'genetic', 'engineering', 'composite', 'epitope', 'protein', 'vaccine', 'application', 'seneca', 'virus', 'type', 'genetic', 'engineering', 'composite', 'epitope', 'protein', 'vaccine', 'belongs', 'technical', 'field', 'veterinary', 'biological', 'products.', 'invention', 'provides', 'amino', 'acid', 'sequence', 'seneca', 'virus', 'genetic', 'engineering', 'composite', 'epitope', 'protein', 'shown', '...']"
32,wo03008599a2 a3,develogen ag de,2003-01-30,wo,world intellectual property organization wipo,fr,"['systeme', 'destine', 'produire', 'des', 'populations', 'clonales', 'ou', 'complexes', 'dadenovirus', 'recombines', 'et', 'leur', 'application']","['...invention', 'destin', '', 'produire', 'des', 'rad', 'comprend', 'de', 'prfrence', 'un', 'virus', 'donneur', 'dont', 'le', 'signal', 'dencapsidation', 'est', 'partiellement...']"
33,cn1445243a,inst of virus prevention and c,2003-10-01,cn,china,en,"['fab', 'antibody', 'human', 'resourced', 'neutrality', 'genetic', 'engineering', 'anti', 'human', 'cytomegalo', 'virus']","['humanized', 'neutral', 'genetically', 'engineering', 'fab', 'antibody', 'hcmv-fab-2', 'hcmv-fab-6', 'human', 'cytomegalovirus', 'fab', 'fragment...']"
34,cn1431020a,univ tsinghua cn,2003-07-23,cn,china,en,"['epiposition', 'vaccine', 'gene', 'engineering', 'influenza', 'virus', 'preparing', 'method']","['genetically', 'engineering', 'epitope', 'vaccine', 'influenza', 'virus', 'effectively', 'resisting', 'variation', 'influenza', 'virus', 'basically', 'composed', 'of...']"
35,cn106526108a b,yebio bioeng co ltd qingdao,2017-03-22,cn,china,en,"['test', 'method', 'rabbit', 'body', 'effect', 'hog', 'cholera', 'virus', 'genetic', 'engineering', 'subunit', 'vaccine']","['...the', 'invention', 'aims', 'provide', 'test', 'method', 'rabbit', 'body', 'effect', 'hog', 'cholera', 'virus', 'genetic', 'engineering...', 'engineering', 'subunit', 'vaccine', '21', 'days', 'detecting', 'hog', 'cholera', 'virus', 'antibody', 'level', 'elisa', 'enzyme', 'linked', 'immuno...', 'effect', 'hog', 'cholera', 'virus', 'genetic', 'engineering', 'subunit', 'vaccine', 'tested', 'effect', 'hog', 'cholera', 'virus', '...']"
36,ep1329522a1 a4b1b2,bml inc jp,2003-07-23,ep,european patent office epo,en,"['methode', 'de', 'detection', 'de', 'virus', 'de', 'type', 'norwalk', 'gi']","['...a', 'method', 'detecting', 'virus', 'specimen', 'whereby', 'norwalk-like', 'virus', 'gi', 'detected', 'using', 'as...', 'sequence', 'cdna', 'prototype', 'standard', 'strain', 'norwalk-like', 'virus', 'gi', 'detection', 'kit', 'performing', 'method.', '...']"
37,cn1844367a,univ nanjing cn,2006-10-11,cn,china,en,"['process', 'producing', 'genetic', 'engineering', 'tobacco', 'etch', 'virus', 'protease', 'use', 'thereof']","['invention', 'relates', 'method', 'producing', 'tobacco', 'etch', 'virus', 'protease', 'means', 'genetic', 'engineering', 'application', 'thereof', 'beloning', 'genetic', 'engineering', 'field.', 'preparation', 'his-tagged', 'recombinant', 'tobacco', 'etch', 'virus', 'protease', 'comprises', 'expression', 'soluble', 'tobacco', 'etch', 'virus', 'protease', 'his-tag', 'e.coli', 'one-step', 'purification', 'ni2', '...']"
38,cn114369587a b,suzhou vast source new enzyme biotechnology ltd company,2022-04-19,cn,china,en,"['vacpox', 'virus', 'capping', 'enzyme', 'mutant', 'recombinant', 'vector', 'recombinant', 'engineering', 'bacterium', 'application', 'vaccpox', 'virus', 'capping', 'enzyme', 'mutant', 'recombinant', 'vector', 'recombinant', 'engineering', 'bacterium']","['...the', 'invention', 'relates', 'vaccinia', 'virus', 'capping', 'enzyme', 'mutant', 'recombinant', 'vector', 'recombinant', 'engineering', 'bacterium', 'application', 'vaccinia', 'virus', 'capping', 'enzyme', 'mutant.', 'vaccinia', 'virus', 'capping', 'enzyme', 'mutant', 'comprises', 'polypeptide', 'formed', 'deleting', 'replacing...', 'shown', 'seq', 'id', 'no.2.', 'half-life', 'period', 'vaccinia', 'virus', 'capping', 'enzyme', 'mutant', '45', 'deg', '...']"
39,ep0278667a2 a3b1,lubrizol genetics inc us,1988-08-17,ep,european patent office epo,en,"['virus', 'darn', 'hybride.']","['...a', 'recombinant', 'rna', 'virus', 'provided', 'allowing', 'encapsidation', 'genetically', 'engineered', 'viral', 'sequences', 'heterologous', 'preferably', 'rod-shaped', 'coat', 'protein...', 'invention', 'allows', 'size', 'recombinant', 'virus', 'rna', 'components', 'increased', 'decreased.', 'methods', 'making', 'using', '...']"
40,cn115043948a,qingdao shuojing biological tech co ltd,2022-09-13,cn,china,en,"['specific', 'fusion', 'protein', 'antigen', 'monkey', 'pox', 'virus', 'well', 'preparation', 'method', 'application', 'specific', 'fusion', 'protein', 'antigen']","['...the', 'invention', 'belongs', 'field', 'bioengineering', 'discloses', 'monkey', 'pox', 'virus', 'specific', 'fusion', 'protein', 'antigen', 'a...', 'monkey', 'pox', 'virus', 'b19r', 'protein', 'monkey', 'pox', 'virus', 'b21r', 'protein.', 'invention', 'also', 'provides', 'recombinant', 'engineering', 'bacteria...', 'monkey', 'pox', 'virus', 'medicament', 'preventing', 'monkey', 'pox', 'virus', 'infection', 'like', 'provides', 'technical', '...']"
41,cn1884499a,univ huazhong agricultural cn,2006-12-27,cn,china,en,"['recombinant', 'pig', 'japanese', 'b', 'encephalitis-aujeszkys', 'disease', 'geneticly', 'engineered', 'strain', 'vaccine', 'uses']","['invention', 'belongs', 'animal', 'virogene', 'engineering', 'sphere', 'especially', 'construction', 'recombinant-pig', 'encephalitis', 'b-aujeskys', 'disease', 'gene', 'engineering', 'virus', 'strain', 'preparation', 'vaccine', 'application.', 'invention', 'obtains', 'recombinant-pig', 'encephalitis', 'b-aujeskys', 'disease', 'gene', 'engineering', 'virus', 'strain', 'pseudorabies', 'virus', 'wkq-je-e001', 'preserved', 'cctcc', 'cctcc', 'v200509', '...']"
42,cn1243161a,shanghai biochemistry inst chi cn,2000-02-02,cn,china,en,"['nuclear', 'polygon', 'virogene', 'engineering', 'carrier', 'cysteine', 'protease', 'deficiency', 'type', 'domestic', 'silkworms']","['...the', 'present', 'invention', 'relates', 'cysteine', 'proteinase', 'gene', 'deletion', 'modification', 'type', 'bombyx', 'mori', 'nuclear', 'polyhydrous', 'virus', 'bmzjcp', 'npv', 'gene', 'engineering', 'carrier.', 'firstly', 'clone', 'bamhif', 'fragment', 'containing', 'cysteine', 'proteinase', 'cp', 'gene', 'bombyx', 'mori', 'nuclear', 'polyhydrosis', 'virus', 'bmnpv', 'zj8...', 'virus', 'bmbacpak', 'co-transfect', 'bombyx', 'mori', 'cell', 'intracellular', 'homologous', 'recombinationto', 'obtain', 'invented', 'product.', '...']"
